NLRP7	12	513	16	509	1.317949	0.237199
N4BP2	12	513	16	509	1.317949	0.237199
LIPC	12	513	16	509	1.317949	0.237199
IFT81	12	513	16	509	1.317949	0.237199
HUS1B	12	513	16	509	1.317949	0.237199
GRK6	12	513	16	509	1.317949	0.237199
COBL	12	513	16	509	1.317949	0.237199
HOOK2	24	501	29	496	1.212072	0.236613
GLI3	24	501	29	496	1.212072	0.236613
ATM	24	501	29	496	1.212072	0.236613
MST1L	65	460	72	453	1.123114	0.232808
SIGLEC16	13	512	17	508	1.295818	0.228505
PCDHGA3	13	512	17	508	1.295818	0.228505
PAPPA	13	512	17	508	1.295818	0.228505
MYRF	13	512	17	508	1.295818	0.228505
MYOZ2	13	512	17	508	1.295818	0.228505
ADAMTS20	13	512	17	508	1.295818	0.228505
TRIO	44	481	50	475	1.147619	0.227196
MICAL1	45	480	51	474	1.144714	0.224702
PTPRU	27	498	32	493	1.190500	0.223242
SPO11	14	511	18	507	1.276640	0.220679
PER1	14	511	18	507	1.276640	0.220679
NLRP2	14	511	18	507	1.276640	0.220679
MYBL2	14	511	18	507	1.276640	0.220679
HEPH	14	511	18	507	1.276640	0.220679
ZP4	5	520	8	517	1.508687	0.218528
ZNF445	5	520	8	517	1.508687	0.218528
TMEM198	5	520	8	517	1.508687	0.218528
PSG1	5	520	8	517	1.508687	0.218528
PIK3CG	5	520	8	517	1.508687	0.218528
PICK1	5	520	8	517	1.508687	0.218528
PCDHGB1	5	520	8	517	1.508687	0.218528
PAPOLA	5	520	8	517	1.508687	0.218528
OR4C16	5	520	8	517	1.508687	0.218528
HOXC5	5	520	8	517	1.508687	0.218528
GLG1	5	520	8	517	1.508687	0.218528
EPHB1	5	520	8	517	1.508687	0.218528
DGKG	5	520	8	517	1.508687	0.218528
CYP11B2	5	520	8	517	1.508687	0.218528
AMBP	5	520	8	517	1.508687	0.218528
ASXL3	29	496	34	491	1.178523	0.215503
SYBU	15	510	19	506	1.259862	0.213589
PTPRD	15	510	19	506	1.259862	0.213589
PNRC2	15	510	19	506	1.259862	0.213589
OR8G2P	15	510	19	506	1.259862	0.213589
FAM90A1	15	510	19	506	1.259862	0.213589
CCNB3	15	510	19	506	1.259862	0.213589
ARRDC1	15	510	19	506	1.259862	0.213589
ADGRB2	15	510	19	506	1.259862	0.213589
AHNAK2	120	405	128	397	1.087545	0.213050
ACAN	30	495	35	490	1.173116	0.211929
ABCA7	30	495	35	490	1.173116	0.211929
IFT172	16	509	20	505	1.245059	0.207129
GAS2L2	16	509	20	505	1.245059	0.207129
DNTTIP1	16	509	20	505	1.245059	0.207129
COL5A1	16	509	20	505	1.245059	0.207129
AGMO	16	509	20	505	1.245059	0.207129
DNAH10	54	471	60	465	1.123371	0.205654
RIMS2	32	493	37	488	1.163289	0.205296
ZNF273	0	525	2	523	3.011450	0.204616
YBX1	0	525	2	523	3.011450	0.204616
WSB1	0	525	2	523	3.011450	0.204616
WNT8B	0	525	2	523	3.011450	0.204616
TSPAN3	0	525	2	523	3.011450	0.204616
SPP2	0	525	2	523	3.011450	0.204616
SPANXN2	0	525	2	523	3.011450	0.204616
SMAD3	0	525	2	523	3.011450	0.204616
OR8J3	0	525	2	523	3.011450	0.204616
NKX3-1	0	525	2	523	3.011450	0.204616
KRTAP20-2	0	525	2	523	3.011450	0.204616
KRT222	0	525	2	523	3.011450	0.204616
KLHL23,PHOSPHO2-KLHL23	0	525	2	523	3.011450	0.204616
KCNK9	0	525	2	523	3.011450	0.204616
ISG20	0	525	2	523	3.011450	0.204616
HNF4G	0	525	2	523	3.011450	0.204616
HMBOX1	0	525	2	523	3.011450	0.204616
GPR42	0	525	2	523	3.011450	0.204616
GDF2	0	525	2	523	3.011450	0.204616
FOXO4	0	525	2	523	3.011450	0.204616
FGF21	0	525	2	523	3.011450	0.204616
DYNC1I1	0	525	2	523	3.011450	0.204616
COX6B1	0	525	2	523	3.011450	0.204616
CDCA7L	0	525	2	523	3.011450	0.204616
ATP6V1F	0	525	2	523	3.011450	0.204616
ABCF1	0	525	2	523	3.011450	0.204616
VSIG2	6	519	9	516	1.436861	0.203278
VDR	6	519	9	516	1.436861	0.203278
TMEM200A	6	519	9	516	1.436861	0.203278
PLCH2	6	519	9	516	1.436861	0.203278
OR5B3	6	519	9	516	1.436861	0.203278
OR2W3	6	519	9	516	1.436861	0.203278
LRRC4C	6	519	9	516	1.436861	0.203278
KCNQ5	6	519	9	516	1.436861	0.203278
CSH1	6	519	9	516	1.436861	0.203278
BAG6	6	519	9	516	1.436861	0.203278
TYW1B	17	508	21	504	1.231903	0.201213
SCAPER	17	508	21	504	1.231903	0.201213
PTH2R	17	508	21	504	1.231903	0.201213
ADAMTS2	17	508	21	504	1.231903	0.201213
VCX	94	431	101	424	1.091368	0.196870
CSH2	35	490	40	485	1.150606	0.196453
SDK2	18	507	22	503	1.220134	0.195772
PIK3C2B	18	507	22	503	1.220134	0.195772
MYH4	18	507	22	503	1.220134	0.195772
COL19A1	18	507	22	503	1.220134	0.195772
CLTCL1	18	507	22	503	1.220134	0.195772
ABCB5	18	507	22	503	1.220134	0.195772
SIPA1L2	19	506	23	502	1.209543	0.190747
MYH6	19	506	23	502	1.209543	0.190747
GOLGA3	19	506	23	502	1.209543	0.190747
GGT1	19	506	23	502	1.209543	0.190747
TTLL9	7	518	10	515	1.382994	0.190737
THEG	7	518	10	515	1.382994	0.190737
SORCS3	7	518	10	515	1.382994	0.190737
PRKAG2	7	518	10	515	1.382994	0.190737
PIK3AP1	7	518	10	515	1.382994	0.190737
OR5M9	7	518	10	515	1.382994	0.190737
EEPD1	7	518	10	515	1.382994	0.190737
C3orf18	7	518	10	515	1.382994	0.190737
CELSR2	64	461	70	455	1.106680	0.189725
TEX14	20	505	24	501	1.199962	0.186088
USH2A	109	416	116	409	1.081796	0.185037
POT1	21	504	25	500	1.191254	0.181755
TRRAP	8	517	11	514	1.341100	0.180201
TCHHL1	8	517	11	514	1.341100	0.180201
TAF6	8	517	11	514	1.341100	0.180201
RIC3	8	517	11	514	1.341100	0.180201
PCDHGA5	8	517	11	514	1.341100	0.180201
PCDHB1	8	517	11	514	1.341100	0.180201
LAMA4	8	517	11	514	1.341100	0.180201
KCNK13	8	517	11	514	1.341100	0.180201
CRB1	8	517	11	514	1.341100	0.180201
CACNA1C	8	517	11	514	1.341100	0.180201
ATRNL1	8	517	11	514	1.341100	0.180201
ARHGAP5	8	517	11	514	1.341100	0.180201
AQP10	8	517	11	514	1.341100	0.180201
SEC14L1	22	503	26	499	1.183304	0.177713
SCN4A	22	503	26	499	1.183304	0.177713
MAP2	22	503	26	499	1.183304	0.177713
KMT2D	43	482	48	477	1.125285	0.177700
CNTNAP2	23	502	27	498	1.176019	0.173931
AGRN	23	502	27	498	1.176019	0.173931
SYNE1	80	445	86	439	1.088721	0.171320
ZDHHC8	9	516	12	513	1.307588	0.171196
VANGL2	9	516	12	513	1.307588	0.171196
TBC1D29	9	516	12	513	1.307588	0.171196
PSG5	9	516	12	513	1.307588	0.171196
OR2L5	9	516	12	513	1.307588	0.171196
OR10G4	9	516	12	513	1.307588	0.171196
KCNU1	9	516	12	513	1.307588	0.171196
KCNJ8	9	516	12	513	1.307588	0.171196
DHX16	9	516	12	513	1.307588	0.171196
ASTN2	9	516	12	513	1.307588	0.171196
ANO4	9	516	12	513	1.307588	0.171196
TENM2	24	501	28	497	1.169317	0.170383
CEP152	24	501	28	497	1.169317	0.170383
NBAS	83	442	89	436	1.086139	0.168547
ASTN1	25	500	29	496	1.163133	0.167047
MYO9A	26	499	30	495	1.157407	0.163903
KIAA1614	26	499	30	495	1.157407	0.163903
UNC79	10	515	13	512	1.280170	0.163392
TRIM60	10	515	13	512	1.280170	0.163392
SLC9A4	10	515	13	512	1.280170	0.163392
SCG2	10	515	13	512	1.280170	0.163392
PCDHA2	10	515	13	512	1.280170	0.163392
MIGA2	10	515	13	512	1.280170	0.163392
KIF21B	10	515	13	512	1.280170	0.163392
ITGA8	10	515	13	512	1.280170	0.163392
FAM71F2	10	515	13	512	1.280170	0.163392
FAM53B	10	515	13	512	1.280170	0.163392
CT47B1	10	515	13	512	1.280170	0.163392
CMA1	10	515	13	512	1.280170	0.163392
CDHR3	10	515	13	512	1.280170	0.163392
AKNA	10	515	13	512	1.280170	0.163392
WDR89	1	524	3	522	2.007648	0.163292
TMCO2	1	524	3	522	2.007648	0.163292
